Name,URL,Language,size,Oversize?
rocketmq-spring,https://github.com/apache/rocketmq-spring.git,Java,507,False
superset,https://github.com/apache/superset.git,Python,285902,False
lucene,https://github.com/apache/lucene.git,Java,454622,True
mina-sshd,https://github.com/apache/mina-sshd.git,Java,17811,False
shiro,https://github.com/apache/shiro.git,Java,25957,False
kafka,https://github.com/apache/kafka.git,Java,132080,False
geode,https://github.com/apache/geode.git,Java,209019,False
incubator-streampipes,https://github.com/apache/incubator-streampipes.git,Java,293586,False
shardingsphere,https://github.com/apache/shardingsphere.git,Java,435193,True
incubator-mxnet-site,https://github.com/apache/incubator-mxnet-site.git,HTML,5829142,True
impala,https://github.com/apache/impala.git,C++,195569,False
pulsar,https://github.com/apache/pulsar.git,Java,1341364,True
incubator-doris,https://github.com/apache/incubator-doris.git,Java,307564,True
tvm,https://github.com/apache/tvm.git,Python,51678,False
ambari,https://github.com/apache/ambari.git,Java,365428,True
incubator-kyuubi,https://github.com/apache/incubator-kyuubi.git,Scala,30285,False
datasketches-cpp,https://github.com/apache/datasketches-cpp.git,C++,3098,False
commons-scxml,https://github.com/apache/commons-scxml.git,Java,2949,False
apisix,https://github.com/apache/apisix.git,Lua,24398,False
incubator-brpc,https://github.com/apache/incubator-brpc.git,C++,29223,False
netbeans,https://github.com/apache/netbeans.git,Java,345743,True
druid,https://github.com/apache/druid.git,Java,236155,False
solr,https://github.com/apache/solr.git,Java,456515,True
skywalking-banyandb,https://github.com/apache/skywalking-banyandb.git,Go,1079,False
arrow,https://github.com/apache/arrow.git,C++,99521,False
dolphinscheduler,https://github.com/apache/dolphinscheduler.git,Java,92135,False
iceberg,https://github.com/apache/iceberg.git,Java,25555,False
echarts,https://github.com/apache/echarts.git,TypeScript,213122,False
cassandra,https://github.com/apache/cassandra.git,Java,364824,True
jena,https://github.com/apache/jena.git,Java,421858,True
apisix-ingress-controller,https://github.com/apache/apisix-ingress-controller.git,Go,7436,False
hudi,https://github.com/apache/hudi.git,Java,90715,False
spark,https://github.com/apache/spark.git,Scala,397833,True
avro,https://github.com/apache/avro.git,Java,19757,False
tomcat,https://github.com/apache/tomcat.git,Java,136449,False
pulsar-manager,https://github.com/apache/pulsar-manager.git,Java,12003,False
logging-log4net,https://github.com/apache/logging-log4net.git,C#,5712,False
camel-quarkus,https://github.com/apache/camel-quarkus.git,Java,32098,False
camel-k,https://github.com/apache/camel-k.git,Go,57277,False
ws-axiom,https://github.com/apache/ws-axiom.git,Java,18392,False
spamassassin,https://github.com/apache/spamassassin.git,Perl,76820,False
flink,https://github.com/apache/flink.git,Java,416952,True
incubator-heron,https://github.com/apache/incubator-heron.git,Java,611014,True
incubator-age,https://github.com/apache/incubator-age.git,C,2038,False
drill,https://github.com/apache/drill.git,Java,130648,False
poi,https://github.com/apache/poi.git,Java,212280,False
geode-native,https://github.com/apache/geode-native.git,C++,24158,False
airflow,https://github.com/apache/airflow.git,Python,137880,False
couchdb,https://github.com/apache/couchdb.git,Erlang,37809,False
incubator-ponymail-foal,https://github.com/apache/incubator-ponymail-foal.git,JavaScript,7350,False
pinot,https://github.com/apache/pinot.git,Java,229341,False
beam,https://github.com/apache/beam.git,Java,254453,False
tomee-site-pub,https://github.com/apache/tomee-site-pub.git,HTML,98093,False
pulsar-client-node,https://github.com/apache/pulsar-client-node.git,C++,2062,False
groovy,https://github.com/apache/groovy.git,Java,202150,False
datasketches-java,https://github.com/apache/datasketches-java.git,Java,12098,False
commons-text,https://github.com/apache/commons-text.git,Java,2925,False
thrift,https://github.com/apache/thrift.git,C++,28687,False
daffodil-vscode,https://github.com/apache/daffodil-vscode.git,TypeScript,1330,False
freemarker,https://github.com/apache/freemarker.git,Java,17677,False
skywalking-swck,https://github.com/apache/skywalking-swck.git,Go,478,False
sling-site,https://github.com/apache/sling-site.git,HTML,78535,False
airavata-data-lake,https://github.com/apache/airavata-data-lake.git,Java,1370,False
trafficcontrol,https://github.com/apache/trafficcontrol.git,Go,108074,False
hive,https://github.com/apache/hive.git,Java,557184,True
royale-asjs,https://github.com/apache/royale-asjs.git,ActionScript,53313,False
airavata-django-portal-sdk,https://github.com/apache/airavata-django-portal-sdk.git,Python,356,False
isis,https://github.com/apache/isis.git,Java,316637,True
fineract,https://github.com/apache/fineract.git,Java,52018,False
manifoldcf,https://github.com/apache/manifoldcf.git,Java,163752,False
kudu,https://github.com/apache/kudu.git,C++,75295,False
qpid-site,https://github.com/apache/qpid-site.git,HTML,139969,False
tinkerpop,https://github.com/apache/tinkerpop.git,Java,174201,False
camel-karavan,https://github.com/apache/camel-karavan.git,TypeScript,5611,False
qpid-dispatch,https://github.com/apache/qpid-dispatch.git,C,41219,False
arrow-rs,https://github.com/apache/arrow-rs.git,Rust,11750,False
incubator-pagespeed-ngx,https://github.com/apache/incubator-pagespeed-ngx.git,C++,80727,False
synapse,https://github.com/apache/synapse.git,Java,44227,False
sling-org-apache-sling-testing-osgi-mock,https://github.com/apache/sling-org-apache-sling-testing-osgi-mock.git,Java,663,False
arrow-datafusion,https://github.com/apache/arrow-datafusion.git,Rust,13784,False
maven-surefire,https://github.com/apache/maven-surefire.git,Java,14041,False
tvm-site,https://github.com/apache/tvm-site.git,JavaScript,221811,False
pdfbox,https://github.com/apache/pdfbox.git,Java,102140,False
nifi,https://github.com/apache/nifi.git,Java,190913,False
mesos,https://github.com/apache/mesos.git,C++,404191,True
cloudstack,https://github.com/apache/cloudstack.git,Java,567325,True
arrow-site,https://github.com/apache/arrow-site.git,Python,110035,False
