Repository,From Date,End Date,NCommit,NContributor
https://github.com/apache/flink.git,2010-12-15 17:02:01+01:00,2021-11-05 21:51:14+01:00,28794,1415
https://github.com/apache/airflow.git,2014-10-06 14:29:38-07:00,2021-11-05 23:27:36+00:00,14024,2185
https://github.com/apache/beam.git,2014-12-13 10:56:14-08:00,2021-11-05 18:23:31-07:00,33462,1233
https://github.com/apache/superset.git,2015-07-02 22:16:59+00:00,2021-11-05 11:12:30-07:00,8577,705
https://github.com/apache/hudi.git,2016-12-16 14:03:59-08:00,2021-11-05 13:03:41-04:00,2033,256
https://github.com/apache/camel-k-runtime.git,2019-02-20 13:58:21+01:00,2021-11-03 03:04:43+00:00,1306,30
https://github.com/apache/lucene.git,2001-09-11 21:44:36+00:00,2021-11-05 09:04:10+01:00,35471,399
https://github.com/apache/jmeter.git,1998-09-03 00:24:13+00:00,2021-11-04 20:09:48+03:00,17501,73
https://github.com/apache/lucene-solr.git,2001-09-11 21:44:36+00:00,2021-06-02 15:57:05+02:00,34919,368
https://github.com/apache/spark.git,2010-03-29 16:17:55-07:00,2021-11-05 17:32:32-07:00,31594,2545
https://github.com/apache/dubbo.git,2011-10-20 15:04:29+00:00,2021-11-05 16:17:38+08:00,5165,425
https://github.com/apache/james-project.git,2006-09-30 17:19:35+00:00,2021-11-05 21:08:35+07:00,12817,112
https://github.com/apache/nifi.git,2014-12-08 15:22:14-05:00,2021-11-04 16:48:24-04:00,6847,537
https://github.com/apache/rocketmq.git,2016-12-20 12:01:01+08:00,2021-10-28 08:51:26+08:00,1844,373
https://github.com/apache/accumulo.git,2011-10-04 00:46:07+00:00,2021-11-03 21:27:56-04:00,11059,195
https://github.com/apache/spamassassin.git,2001-04-20 18:47:31+00:00,2021-11-06 02:49:39+00:00,26499,38
https://github.com/apache/shardingsphere.git,2016-01-18 20:49:26+08:00,2021-11-05 22:03:29+08:00,30635,414
https://github.com/apache/cassandra.git,2009-03-02 07:57:22+00:00,2021-11-05 07:58:56+00:00,27013,530
