Repository,Language,Commits,Code_churn
https://github.com/apache/rocketmq-spring.git,Java,263,33766
https://github.com/apache/superset.git,Python,8668,8676011
../repo_buffer/lucene,Java,35491,18090814
https://github.com/apache/mina-sshd.git,Java,2447,599341
https://github.com/apache/shiro.git,Java,2203,1007674
https://github.com/apache/kafka.git,Java,9571,2752107
https://github.com/apache/geode.git,Java,10745,38325612
https://github.com/apache/incubator-streampipes.git,Java,8280,6739781
../repo_buffer/shardingsphere,Java,30756,19858314
../repo_buffer/incubator-mxnet-site,HTML,9637,122324494
https://github.com/apache/impala.git,C++,10004,17175457
../repo_buffer/pulsar,Java,7866,3814749
../repo_buffer/incubator-doris,Java,3532,2685993
https://github.com/apache/tvm.git,Python,7071,2098845
../repo_buffer/ambari,Java,24590,34602527
https://github.com/apache/incubator-kyuubi.git,Scala,1368,492804
https://github.com/apache/datasketches-cpp.git,C++,1158,423808
https://github.com/apache/commons-scxml.git,Java,1163,183889
https://github.com/apache/apisix.git,Lua,2619,315696
https://github.com/apache/incubator-brpc.git,C++,2341,1272623
../repo_buffer/netbeans,Java,6181,108362778
https://github.com/apache/druid.git,Java,11392,6640424
../repo_buffer/solr,Java,35424,18345241
https://github.com/apache/skywalking-banyandb.git,Go,157,124730
https://github.com/apache/arrow.git,C++,10406,3647023
https://github.com/apache/dolphinscheduler.git,Java,5468,6268871
https://github.com/apache/iceberg.git,Java,2067,3768527
https://github.com/apache/echarts.git,TypeScript,8202,20572579
../repo_buffer/cassandra,Java,27069,4956661
../repo_buffer/jena,Java,9401,10494102
https://github.com/apache/apisix-ingress-controller.git,Go,423,106900
https://github.com/apache/hudi.git,Java,2133,947890
../repo_buffer/spark,Scala,31733,25598902
https://github.com/apache/avro.git,Java,2931,1057276
https://github.com/apache/tomcat.git,Java,23765,3448981
https://github.com/apache/pulsar-manager.git,Java,203,125183
https://github.com/apache/logging-log4net.git,C#,1137,804271
https://github.com/apache/camel-quarkus.git,Java,3353,830736
https://github.com/apache/camel-k.git,Go,3534,6851157
